;coderesp;securityid;birthyearr;control1;control3;control3_txt;s11;polint;part;nonvote_01;nonvote_02;nonvote_03;nonvote_04;nonvote_05;nonvote_06;nonvote_07;nonvote_08;nonvote_09;nonvote_10;nonvote_98;party15;vote1;vote1a;vote1b;vote1c;importance1;reason1acc1;reason1acc1_01;reason1acc1_02;reason1acc1_03;reason2acc1;reason2acc1_01;reason2acc1_02;reason2acc1_03;reason2acc1_04;reason1den1;reason1den1_01;reason1den1_02;reason1den1_03;reason1den1_04;reason2den1;reason2den1_01;reason2den1_02;reason2den1_03;reason2den1_04;vote2;vote2a;vote2b;vote2c;importance2;reason1acc2;reason1acc2_01;reason1acc2_02;reason1acc2_03;reason2acc2;reason2acc2_01;reason2acc2_02;reason2acc2_03;reason1den2;reason1den2_01;reason1den2_02;reason1den2_03;reason1den2_04;reason2den2;reason2den2_01;reason2den2_02;reason2den2_03;reason2den2_04;trust_1;trust_2;trust_3;trust_4;trust_5;trust_7;trust_8;trust_9;trust_10;trust_21;trust_22;trust_25;trust_29;trust_31;trust_55;trust_63;lrsp;value2;value3;value6;value9;value12;value15;difficul1;dectime1;argu1_1;argu1_2;argu1_3;argu1_4;argu1_5;argu1_6;difficul2;dectime2;argu2_1;argu2_2;argu2_3;argu2_4;argu2_5;argu2_6;zusatz1a301125_1;zusatz1a301125_2;zusatz1a301125_3;zusatz1a301125_4;zusatz1a301125_5;zusatz2a301125_1;zusatz2a301125_2;zusatz2a301125_3;zusatz2a301125_4;zusatz2a301125_5;zusatz2a301125_6;zusatz2a301125_7;zusatz2a301125_8;zusatz2a301125_9;zusatz2a301125_10;zusatz2a301125_11;zusatz2a301125_12;zusatz2a301125_13;zusatz2a301125_14;zusatz3a301125_1;zusatz3a301125_2;zusatz3a301125_3;zusatz3a301125_4;online;mediause_1;mediause_3;mediause_4;mediause_5;mediause_6;mediause_7;mediause_8;mediause_9;mediause_10;mediause_11;mediause_13;mediause_14;mediause_15;mediause2_1;mediause2_2;mediause2_3;mediause2_4;mediause2_5;mediause2_6;mediause2_7;mediause2_8;mediause_12;mediause_2;discus;votewie;part2;partya;citizenrepa;originparents;confessd;confessr;cult;educ;acti;actiprev;s17jobposition;workload;s17sector;mainearner;educmain;actimain;income;incomeprecariat;habitat;gewvorl1;gewvorl2;unused;sprachreg3;agglo2020;grossreg;;;;;;
11;16242;2.02511E+15;1953;;;;1;1;1;;;;;;;;;;;;1;2;99999998;4;99999998;10;;;;;;;;;;Jeder Schweizer soll frei entscheiden, ob Militär Ja oder Nein;502;;;;;999;;;;2;99999998;4;99999998;10;;;;;;;;;Da sonst Firma ihre Produktion ins Ausland verlegt;201;;;;;999;;;;5;6;10;0;2;3;3;3;0;10;0;3;4;0;0;0;10;6;6;1;6;1;1;1;1;1;1;2;1;1;1;1;1;3;4;8;4;1;1;3;3;1;1;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;5;1;10;1;1;1;2;;99999998;32;7;3;32;10;2;1;99999998;99999998;2;3;1;1.02798555;0.966155056;0;1;2;2;;;;;;
12;13930;2.02511E+15;1952;;;;2;2;1;;;;;;;;;;;;17;2;99999998;8;99999998;3;;;;;;;;;;Meinung Bundesrat;905;;;;;999;;;;2;99999998;4;99999998;3;;;;;;;;;Meinung Bundesrat;905;;;;;999;;;;7;5;2;0;3;7;6;6;6;5;0;98;6;7;0;6;5;4;4;1;1;3;2;2;2;2;2;4;2;8;2;2;2;1;3;3;2;2;2;4;3;2;1;4;1;1;0;0;1;0;0;0;1;0;1;0;0;0;1;2;4;1;3;4;6;6;0;0;0;5;3;0;0;0;2;5;0;0;0;0;0;4;3;7;0;0;3;1;7;4;1;1;1;1;2;32;7;1;12;23;8;2;52;7;10;1;2;1.011097396;1.043425413;0;1;2;3;;;;;;
13;11879;2.02511E+15;1965;;;;8;2;1;;;;;;;;;;;;17;2;99999998;4;99999998;0;;;;;;;;;;Zwang;502;;;;;999;;;;3;99999998;99999998;1;0;;;;;;;;;;;;;;;;;;;9;7;98;5;0;9;5;5;5;5;5;0;3;9;0;5;4;3;3;6;3;5;3;1;8;4;4;1;2;3;1;1;1;4;8;4;1;2;3;1;3;4;4;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;4;1;1;8;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;8;8;10;16;9;2;2;;99999998;52;3;99999998;33;10;2;3;99999998;99999998;15;2;1;0.059701842;0.055070884;0;1;1;4;;;;;;
14;11518;2.02511E+15;1949;;;;2;2;1;;;;;;;;;;;;3;2;99999998;4;99999998;9;;;;;;;;;;;999;;;;;999;;;;2;99999998;4;99999998;9;;;;;;;;;;999;;;;;999;;;;10;10;5;6;9;9;9;10;98;10;98;10;3;3;0;3;5;1;6;1;1;4;4;1;1;2;2;4;1;1;1;1;1;4;4;4;1;1;1;4;1;2;1;4;1;0;0;1;1;0;0;0;1;0;1;0;0;0;1;1;1;2;3;10;0;0;0;0;0;0;0;0;0;0;0;10;98;98;98;98;98;10;98;98;0;0;3;1;10;3;1;1;1;1;2;32;7;3;32;10;1;8;99999998;99999998;98;1;2;1.648534245;1.568863771;0;1;2;4;;;;;;
15;10909;2.02511E+15;1971;;;;1;3;8;;;;;;;;;;;;1;99999998;99999998;99999998;99999998;99999998;;;;;;;;;;;;;;;;;;;;99999998;99999998;99999998;99999998;99999998;;;;;;;;;;;;;;;;;;;5;3;3;3;3;3;3;3;3;3;2;4;4;4;2;4;8;9;9;9;9;9;9;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;2;3;2;3;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;3;3;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;98;1;1;1;2;;99999998;98;98;99999998;99999998;98;99999998;8;99999998;99999998;98;8;8;1.405998992;1.405998992;0;1;2;4;;;;;;
16;10960;2.02511E+15;1965;;;;1;2;2;0;1;0;0;0;0;0;0;0;0;0;1;99999998;99999998;99999998;99999998;99999998;;;;;;;;;;;;;;;;;;;;99999998;99999998;99999998;99999998;99999998;;;;;;;;;;;;;;;;;;;10;10;7;2;4;9;4;4;4;8;0;4;7;7;4;7;8;8;4;1;1;1;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;2;4;2;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;1;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;3;1;1;1;1;1;2;32;3;99999998;32;10;1;1;99999998;99999998;9;1;1;1.69266617;1.692113802;0;1;1;4;;;;;;
17;13959;2.02511E+15;1962;;;;2;2;1;;;;;;;;;;;;16;2;99999998;4;99999998;4;;;;;;;;;;;999;;;;;999;;;;2;99999998;4;99999998;10;;;;;;;;;;999;;;;;999;;;;4;5;3;3;3;5;1;2;2;3;0;3;4;4;0;3;5;6;3;1;2;1;2;1;1;4;4;4;2;2;1;1;1;3;4;4;2;2;1;4;3;3;2;98;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;98;3;2;2;10;9;10;1;3;0;5;0;5;8;0;0;0;98;98;98;98;98;10;98;10;98;98;3;1;10;16;1;2;1;2;2;32;7;3;33;23;3;2;51;3;10;1;2;0.666071423;0.693854813;0;1;1;5;;;;;;
18;10969;2.02511E+15;1947;;;;1;3;1;;;;;;;;;;;;4;2;99999998;4;99999998;9;;;;;;;;;;Pflicht zu einem Dienst nach Vorgaben jede, jeder soll nach den eigenen Kompetenzen leisten.;502;;;;;999;;;;2;99999998;4;99999998;9;;;;;;;;;Das Hauptziel der Politik ist die Bekämpfung von Symptomen, die Ursachen sollen angegangen werden.;900;;;;;998;;;;3;2;0;2;2;4;2;2;2;4;0;0;2;4;2;2;6;1;1;5;4;1;3;1;1;2;4;4;1;8;1;1;1;2;4;4;1;2;2;3;1;4;3;2;0;0;1;1;0;1;1;1;0;1;1;1;0;0;1;4;4;1;3;7;0;9;1;1;1;7;9;4;0;0;0;5;2;1;98;0;5;2;2;7;0;0;5;1;10;16;1;1;1;9;2;52;1;99999998;11;21;1;1;99999998;99999998;98;2;1;1.289393229;1.227079345;0;1;1;4;;;;;;
19;12809;2.02511E+15;1954;;;;1;2;1;;;;;;;;;;;;17;2;99999998;2;99999998;3;;;;;;;;;;Die Frauen leisten heute schon sehr viel in unserer Gesellschaft;503;;;;Zuerst andere Gleichstellung lösen;503;;;;1;4;99999998;99999998;10;Ungerechte Verteilung der Vermögen;301;;;Geld für den Umweltschutz;201;;;;;;;;;;;;;2;1;5;3;0;3;5;1;8;8;8;4;8;10;5;2;5;5;2;3;6;5;1;1;2;3;3;3;2;3;2;1;1;1;1;1;4;4;3;4;4;4;3;4;1;1;1;1;0;0;0;0;0;0;1;0;0;0;1;2;2;2;8;7;7;2;1;1;2;5;1;1;1;1;1;1;4;3;2;5;5;4;2;1;1;7;4;1;10;16;1;1;2;;99999998;32;7;3;32;21;1;2;40;7;9;1;2;0.696362563;0.62512411;0;1;3;5;;;;;;
20;12837;2.02511E+15;1955;;;;2;1;1;;;;;;;;;;;;2;2;99999998;4;99999998;4;;;;;;;;;;zuerst sollen Frauen überall gleichgestellt sein;503;;;;nicht nötig;103;;;;1;4;99999998;99999998;8;noch mehr für reiche ist ungesund;301;;;positiv für ärmere leute;301;;;;;;;;;;;;;4;5;7;6;2;4;8;4;9;1;7;1;6;8;5;4;2;2;1;6;1;5;1;1;1;3;8;8;3;3;4;1;1;1;2;1;3;4;3;4;2;4;2;3;0;1;1;1;0;0;0;0;0;1;0;1;0;0;2;2;3;3;3;2;1;2;0;0;0;0;0;2;0;0;0;0;98;98;98;98;98;5;5;7;0;2;3;1;9;2;1;1;2;;99999998;33;7;3;33;23;2;1;99999998;99999998;4;1;1;0.650755285;0.584182494;0;1;1;5;;;;;;
