"","CODERESP","SECURITYID","BIRTHYEARR","CONTROL1","CONTROL3","CONTROL3@","S11","POLINT","PART","NONVOTE_01","NONVOTE_02","NONVOTE_03","NONVOTE_04","NONVOTE_05","NONVOTE_06","NONVOTE_07","NONVOTE_08","NONVOTE_09","NONVOTE_10","NONVOTE_98","PARTY15","VOTE1","VOTE1A","VOTE1B","VOTE1C","IMPORTANCE1","REASON1ACC1","REASON1ACC1_01","REASON1ACC1_02","REASON1ACC1_03","REASON1ACC1_04","REASON1ACC1_05","REASON1ACC1_06","REASON2ACC1","REASON2ACC1_01","REASON2ACC1_02","REASON2ACC1_03","REASON2ACC1_04","REASON2ACC1_05","REASON2ACC1_06","REASON1DEN1","REASON1DEN1_01","REASON1DEN1_02","REASON1DEN1_03","REASON1DEN1_04","REASON2DEN1","REASON2DEN1_01","REASON2DEN1_02","REASON2DEN1_03","REASON2DEN1_04","REASON2DEN1_05","TRUST_1","TRUST_2","TRUST_3","TRUST_4","TRUST_5","TRUST_6","TRUST_7","TRUST_8","TRUST_9","TRUST_10","TRUST_16","TRUST_23","TRUST_55","LRSP","VALUE1","VALUE3","VALUE5","VALUE8","VALUE10","VALUE11","VALUE13","VALUE17","DIFFICUL1","DECTIME1","ARGU1_1","ARGU1_2","ARGU1_3","ARGU1_4","ARGU1_5","ARGU1_6","ONLINE","MEDIAUSE_1","MEDIAUSE_2","MEDIAUSE_3","MEDIAUSE_4","MEDIAUSE_5","MEDIAUSE_6","MEDIAUSE_7","MEDIAUSE_8","MEDIAUSE_9","MEDIAUSE_10","MEDIAUSE_11","MEDIAUSE_12","MEDIAUSE_13","MEDIAUSE_14","MEDIAUSE_15","MEDIAUSE2_1","MEDIAUSE2_2","MEDIAUSE2_3","MEDIAUSE2_4","MEDIAUSE2_5","MEDIAUSE2_6","MEDIAUSE2_7","MEDIAUSE2_8","DISCUS","VOTEWIE","PART2","MEDKONS_1","MEDKONS_2","MEDKONS_3","MEDKONS_4","MEDKONS_5","MEDKONS_6","MEDKONS_7","MEDKONS_8","MEDKONS_9","MEDKONS_10","MEDKONS_11","MEDKONS_12","MEDNR_1","MEDNR_2","MEDNR_3","MEDNR_4","MEDNR_5","MEDNR_6","MEDNR_7","MEDNR_8","MEDNR_9","MEDNR_10","MEDNR_11","MEDNR_12","MEDNR_13","MEDNR_14","MEDNR_15","MEDNR_16","MEDNR_17","MEDNR_18","MEDNR_19","MEDNR_20","MEDNR_21","MEDNR_22","MEDNR_23","MEDNR_24","MEDNR_25","MEDNR_26","MEDNR_27","MEDNR_28","MEDNR_29","MEDNR_30","MEDNR_31","MEDNR_32","MEDNR_33","MEDNR_34","MEDHAUPT","PARTYA","CITIZENREPA","ORIGINPARENTS","CONFESSD","CONFESSR","CULT","EDUC","ACTI","ACTIPREV","S17JOBPOSITION","WORKLOAD","S17SECTOR","MAINEARNER","EDUCMAIN","ACTIMAIN","INCOME","INCOMEPRECARIAT","HABITAT","GEWVORL1","UNUSED"
"1359",12857,"20250209.81021.243",1979,"","","",1,2,2,"0","0","0","0","0","0","1","0","0","0","0",4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",8,5,5,4,7,8,5,4,8,4,5,4,1,5,6,6,6,6,6,3,1,6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,5,5,3,2,2,5,1,4,4,4,4,4,"5","0","3","","","","",3,5,"3","2","2","2","3","","","","","3","3","","","","","",5,"2","3","1",4,"4",4,3,2,"6","4",2,2,1,"2","4",32,3,"","32",10,"1",1,"","",8,2,1,"1.45651057373132",0
"1360",12858,"20250209.79456.243",1953,"","","",2,2,2,"1","0","0","0","0","0","0","0","0","0","0",4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5,4,3,4,5,6,7,3,5,5,3,4,3,3,3,3,4,4,1,6,8,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",8,5,2,1,1,3,4,2,5,5,4,5,4,"0","0","0","","","","",5,0,"0","0","0","0","0","","","","","0","0","","","","","",0,"0","1","0",3,"4",0,5,0,"98","9",1,1,1,"2","5",32,7,"3","32",21,"1",8,"","",5,1,2,"3.03371336867843",0
"1361",12859,"20250209.88421.243",1978,"","","",2,2,1,"","","","","","","","","","","",1,"2","","4","","6","","","","","","","","","","","","","","","Die Umsetzung ist nicht zahlbar","300","","","","Es bringt uns nicht weiter","100","","","","",10,10,6,0,3,9,6,6,6,3,3,3,6,7,2,4,4,3,5,4,1,6,"2","2","4","1","2","1","1","2","2","10","3","5","10","2","6","6","0","6","6","9","5","0","0","0","0","0","8","0","0","3","3","8","4","1",8,98,3,98,1,1,1,1,3,2,2,2,1,"1","0","1","","","","",3,4,"0","3","0","0","0","","","","","0","0","","","","","",0,"0","0","0",2,"1",2,3,3,"98","3",1,1,1,"1","2",32,1,"","11",10,"1",3,"","",12,1,2,"0.738932956988421",0
"1362",12862,"20250209.84351.243",1951,"","","",2,2,2,"1","0","0","0","0","0","1","0","0","0","0",17,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5,3,3,5,5,9,8,98,98,5,1,4,7,5,2,2,5,5,4,6,2,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",9,5,3,3,1,1,3,1,5,5,3,2,1,"0","0","0","","","","",5,2,"0","5","0","0","0","","","","","0","0","","","","","",0,"0","0","0",5,"5",5,5,5,"9","4",1,1,1,"2","2",22,7,"8","",98,"",2,"51","7",7,1,2,"3.03371336867843",0
"1363",12863,"20250209.74142.243",2001,"","","",1,3,2,"0","0","0","0","0","0","0","1","0","0","0",4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,5,3,2,7,6,4,6,6,6,5,6,3,7,4,4,4,3,3,6,2,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,1,1,1,1,5,5,1,1,2,1,5,1,"0","3","0","","","","",0,4,"0","2","0","0","0","","","","","2","5","","","","","",4,"2","0","0",1,"1",0,1,0,"11","4",1,1,1,"2","3",33,3,"","33",21,"1",1,"","",3,1,1,"2.04871112664169",0
"1364",12865,"20250209.78395.243",1980,"","","",2,3,2,"0","1","0","0","0","0","0","0","0","0","0",5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",8,7,3,1,5,3,4,5,7,7,3,7,0,4,4,1,6,3,5,6,2,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4,1,5,1,4,1,5,3,1,1,1,5,3,"3","0","0","","","","",0,5,"0","0","0","0","2","","","","","0","0","","","","","",5,"0","0","0",0,"0",0,0,0,"2","18",1,2,2,"","",51,1,"","12",10,"1",1,"","",13,1,2,"2.30715345427917",0
"1365",12869,"20250209.81061.243",1949,"","","",2,8,8,"","","","","","","","","","","",16,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98,98,98,98,98,98,98,98,98,98,98,98,98,98,9,9,9,9,9,9,9,8,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98,98,98,98,98,98,98,98,98,98,98,98,98,"98","98","98","","","","",98,98,"98","98","98","98","98","","","","","98","98","","","","","",98,"98","98","98",98,"98",98,98,98,"","18",2,2,2,"","",10,7,"3","98",10,"1",8,"","",4,2,1,"",1
"1366",12871,"20250209.87227.243",1980,"","","",2,3,2,"0","0","0","0","1","0","0","0","0","0","0",99,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4,3,2,0,5,6,10,5,5,5,8,5,0,5,3,3,6,6,3,2,1,6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,1,4,2,2,1,5,3,4,4,3,5,2,"5","0","0","","","","",0,0,"0","0","0","0","0","","","","","0","0","","","","","",4,"0","0","0",3,"3",1,1,5,"2","4",1,1,1,"1","5",32,3,"","32",23,"1",2,"32","3",9,2,2,"1.30816361515482",0
"1367",12873,"20250209.70474.243",1940,"","","",2,3,1,"","","","","","","","","","","",1,"2","","4","","3","","","","","","","","","","","","","","","","106","","","","","999","","","","",5,98,6,5,98,98,5,98,98,98,98,98,0,8,9,8,5,6,6,2,1,9,"2","1","2","3","8","8","2","8","2","98","6","6","98","0","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","4","1",98,98,98,98,98,98,98,98,98,98,98,98,98,"98","98","98","","","","",98,98,"98","5","98","98","98","","","","","98","98","","","","","",98,"98","98","98",98,"98",98,98,98,"","1",1,1,1,"1","9",98,7,"3","98",98,"2",8,"","",98,1,1,"0.968552068061794",0
"1368",12874,"20250209.73004.243",1953,"","","",1,2,1,"","","","","","","","","","","",16,"2","","4","","6","","","","","","","","","","","","","","","Initiative zu Krass, nicht umsetzbar","401","403","","","","999","","","","",1,1,0,1,5,5,0,5,2,4,0,1,0,6,2,3,4,3,4,1,1,3,"1","1","2","1","1","1","3","1","3","9","0","9","9","0","98","0","0","0","0","0","0","0","0","0","5","0","5","0","0","5","1","5","3","1",10,5,5,5,1,1,5,1,1,5,4,1,1,"0","0","0","","","","",5,5,"0","1","0","0","0","","","","","0","0","","","","","",5,"0","0","0",5,"5",4,0,5,"2","16",1,2,1,"1","5",31,7,"3","32",10,"1",3,"","",98,2,2,"0.929725934287121",0
"1369",12879,"20250209.85249.243",1996,"","","",1,2,2,"0","0","0","0","1","0","0","0","0","0","0",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4,5,8,0,2,3,4,5,5,5,10,7,0,7,4,4,4,6,6,4,1,6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5,2,3,2,1,1,3,1,4,3,1,3,2,"1","0","1","","","","",0,2,"0","0","0","0","0","","","","","0","0","","","","","",2,"0","0","0",4,"0",0,3,0,"9","1",1,1,1,"2","1",32,3,"","32",10,"1",8,"","",6,3,1,"1.84131876279973",0
"1370",12883,"20250209.73305.243",1963,"","","",1,2,2,"0","0","0","0","0","0","0","0","0","1","0",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10,10,8,3,5,8,7,3,3,6,8,7,2,5,4,4,4,5,4,3,4,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,4,1,1,1,4,5,4,5,2,5,1,"1","0","0","","","","",5,5,"0","0","0","0","0","","","","","0","0","","","","","",0,"0","0","0",5,"5",0,4,0,"9","1",1,1,1,"2","4",32,3,"","32",10,"1",1,"","",7,2,2,"2.52508252602266",0
"1371",12884,"20250209.76804.243",1975,"","","",1,3,2,"1","0","0","0","0","0","0","0","0","0","0",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,5,5,5,6,5,5,6,6,4,7,4,4,5,5,4,5,5,4,2,1,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3,3,3,1,1,1,2,1,4,3,1,5,2,"5","0","0","","","","",0,2,"0","0","0","0","2","","","","","0","0","","","","","",2,"0","0","0",3,"3",5,4,5,"11","1",1,1,2,"","",32,3,"","32",10,"1",8,"","",6,1,2,"2.36253727228167",0
"1372",12885,"20250209.86003.243",1962,"1","2","",2,1,1,"","","","","","","","","","","",5,"1","4","","","10","Unsere Umwelt, die Natur hat keine Lobby und sie geht langsam, aber sicher vor die Hunde, da permanent eine Güterabwägung zugunsten der Wirtschaft und gegen die Natur getroffen wird. Es braucht ein neues, nachhaltiges Wirtschaftsmodell.","306","300","303","200","","","Ich habe in kleinbäuerlichen Strukturen gelebt und vertraue auf das was ich wahrnehme, das Artensterben ist in vollem Gang. Ich bin wütend, dass die Politik hier versagt.","303","203","","","","","","","","","","","","","","","",5,2,5,8,0,10,5,5,5,8,2,6,8,2,2,1,1,3,2,6,1,6,"1","1","1","1","1","4","3","1","2","7","9","0","10","0","0","2","2","0","7","0","0","0","0","0","0","0","0","0","0","7","0","10","2","1",10,1,2,2,2,1,2,1,5,4,5,1,1,"0","0","98","","","","",98,98,"0","98","98","98","0","","","","","98","0","","","","","",0,"0","0","0",3,"0",0,5,0,"10","5",1,1,2,"","",32,3,"","33",21,"3",4,"40","3",8,1,2,"0.678816560669416",0
"1373",12887,"20250209.84403.243",1978,"","","",1,3,2,"0","1","1","0","0","0","0","0","0","0","0",3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",8,7,5,7,5,9,7,2,7,4,3,3,0,7,5,5,5,3,3,1,1,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5,3,5,1,1,1,5,2,5,3,3,5,4,"0","0","0","","","","",5,5,"0","0","0","0","0","","","","","0","0","","","","","",3,"0","0","0",3,"0",2,5,2,"6","3",1,1,1,"2","2",51,3,"","32",10,"1",1,"","",11,1,1,"1.49613832109448",0
"1374",12888,"20250209.73919.243",1949,"","","",1,3,2,"0","0","0","1","0","0","0","0","0","0","0",99,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,3,3,1,4,6,5,5,3,1,2,2,0,98,5,5,2,6,8,9,2,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3,98,98,98,98,98,98,98,98,98,98,98,98,"98","98","98","","","","",98,98,"98","98","98","98","98","","","","","98","98","","","","","",98,"98","98","98",98,"98",98,98,98,"","1",2,2,2,"","",31,7,"7","",98,"",3,"","",98,2,2,"2.97721574898116",0
"1375",12889,"20250209.79354.243",1951,"","","",2,2,1,"","","","","","","","","","","",4,"2","","2","","8","","","","","","","","","","","","","","","zwängerei","401","","","","unmöglich","403","","","","",8,8,5,5,4,6,6,6,6,10,4,98,2,8,3,3,4,3,4,5,2,4,"1","2","1","2","2","2","3","1","3","8","9","9","9","4","4","4","4","8","8","8","4","4","4","4","98","98","98","1","1","6","6","9","3","1",9,5,1,1,1,1,1,3,5,98,3,1,1,"0","0","3","","","","",1,0,"0","3","0","0","0","","","","","0","0","","","","","",0,"0","5","0",5,"5",5,5,5,"9","4",1,1,1,"2","4",21,7,"8","",10,"",2,"21","8",98,2,2,"0.96532157891092",0
"1376",12890,"20250209.81401.243",1994,"","","",2,2,1,"","","","","","","","","","","",1,"1","8","","","7","Meine Kinder..die Zukunft.","302","","","","","","","999","","","","","","","","","","","","","","","","",8,7,8,2,5,8,7,5,7,5,7,5,2,7,4,3,8,4,5,6,2,4,"8","8","2","2","2","8","2","2","3","3","0","5","10","5","5","0","8","7","0","8","0","0","0","0","3","0","0","0","0","5","0","7","3","1",10,4,3,1,3,3,4,1,5,4,1,4,1,"5","0","2","","","","",3,5,"0","0","0","1","1","","","","","2","2","","","","","",2,"0","0","0",3,"3",2,3,98,"6","1",1,1,1,"2","4",51,3,"","32",22,"1",2,"40","3",9,1,2,"0.596552793154028",0
