CODERESP;SECURITYID;BIRTHYEARR;CONTROL1;CONTROL3;CONTROL3@;S11;POLINT;PART;NONVOTE_01;NONVOTE_02;NONVOTE_03;NONVOTE_04;NONVOTE_05;NONVOTE_06;NONVOTE_07;NONVOTE_08;NONVOTE_09;NONVOTE_10;NONVOTE_98;PARTY15;VOTE1;VOTE1A;VOTE1B;VOTE1C;IMPORTANCE1;REASON1ACC1;REASON1ACC1_01;REASON1ACC1_02;REASON1ACC1_03;REASON1ACC1_04;REASON1ACC1_05;REASON1ACC1_06;REASON2ACC1;REASON2ACC1_01;REASON2ACC1_02;REASON2ACC1_03;REASON2ACC1_04;REASON2ACC1_05;REASON1DEN1;REASON1DEN1_01;REASON1DEN1_02;REASON1DEN1_03;REASON1DEN1_04;REASON1DEN1_05;REASON1DEN1_06;REASON1DEN1_07;REASON2DEN1;REASON2DEN1_01;REASON2DEN1_02;REASON2DEN1_03;REASON2DEN1_04;REASON2DEN1_05;REASON2DEN1_06;VOTE2;VOTE2A;VOTE2B;VOTE2C;IMPORTANCE2;REASON1ACC2;REASON1ACC2_01;REASON1ACC2_02;REASON1ACC2_03;REASON2ACC2;REASON2ACC2_01;REASON2ACC2_02;REASON2ACC2_03;REASON1DEN2;REASON1DEN2_01;REASON1DEN2_02;REASON1DEN2_03;REASON2DEN2;REASON2DEN2_01;REASON2DEN2_02;REASON2DEN2_03;REASON2DEN2_04;REASON2DEN2_05;REASON2DEN2_06;VOTE3;VOTE3A;VOTE3B;VOTE3C;IMPORTANCE3;REASON1ACC3;REASON1ACC3_01;REASON1ACC3_02;REASON1ACC3_03;REASON1ACC3_04;REASON2ACC3;REASON2ACC3_01;REASON2ACC3_02;REASON2ACC3_03;REASON2ACC3_04;REASON1DEN3;REASON1DEN3_01;REASON1DEN3_02;REASON1DEN3_03;REASON1DEN3_04;REASON1DEN3_05;REASON1DEN3_06;REASON2DEN3;REASON2DEN3_01;REASON2DEN3_02;REASON2DEN3_03;REASON2DEN3_04;REASON2DEN3_05;VOTE4;VOTE4A;VOTE4B;VOTE4C;IMPORTANCE4;REASON1ACC4;REASON1ACC4_01;REASON1ACC4_02;REASON1ACC4_03;REASON1ACC4_04;REASON1ACC4_05;REASON2ACC4;REASON2ACC4_01;REASON2ACC4_02;REASON2ACC4_03;REASON2ACC4_04;REASON1DEN4;REASON1DEN4_01;REASON1DEN4_02;REASON1DEN4_03;REASON1DEN4_04;REASON2DEN4;REASON2DEN4_01;REASON2DEN4_02;REASON2DEN4_03;REASON2DEN4_04;REASON2DEN4_05;REASON2DEN4_06;TRUST_1;TRUST_2;TRUST_3;TRUST_4;TRUST_5;TRUST_7;TRUST_8;TRUST_9;TRUST_10;TRUST_16;TRUST_30;TRUST_49;TRUST_64;TRUST_65;TRUST_66;TRUST_67;LRSP;VALUE3;VALUE5;VALUE7;VALUE10;DIFFICUL1;DECTIME1;ARGU1_1;ARGU1_2;ARGU1_3;ARGU1_4;ARGU1_5;ARGU1_6;DIFFICUL2;DECTIME2;ARGU2_1;ARGU2_2;ARGU2_3;ARGU2_4;ARGU2_5;ARGU2_6;DIFFICUL3;DECTIME3;ARGU3_1;ARGU3_2;ARGU3_3;ARGU3_4;ARGU3_5;ARGU3_6;DIFFICUL4;DECTIME4;ARGU4_1;ARGU4_2;ARGU4_3;ARGU4_4;ARGU4_5;ARGU4_6;ZUSATZ1A241124;ZUSATZ2A241124;ZUSATZ3A241124_01;ZUSATZ3A241124_02;ZUSATZ3A241124_03;ZUSATZ3A241124_04;ZUSATZ3A241124_05;ZUSATZ3A241124_06;ZUSATZ3A241124_98;ZUSATZ3A241124@_05;ZUSATZ4A241124_1;ZUSATZ4A241124_2;ZUSATZ4A241124_3;ZUSATZ4A241124_4;ZUSATZ4A241124_5;ZUSATZ4A241124_6;ZUSATZ5A241124_01;ZUSATZ5A241124_02;ZUSATZ5A241124_03;ZUSATZ5A241124_04;ZUSATZ5A241124_05;ZUSATZ5A241124_06;ZUSATZ5A241124_07;ZUSATZ5A241124_08;ZUSATZ5A241124_98;ZUSATZ6A241124;ONLINE;MEDIAUSE_1;MEDIAUSE_2;MEDIAUSE_3;MEDIAUSE_4;MEDIAUSE_5;MEDIAUSE_6;MEDIAUSE_7;MEDIAUSE_8;MEDIAUSE_9;MEDIAUSE_10;MEDIAUSE_11;MEDIAUSE_12;MEDIAUSE_13;MEDIAUSE_14;MEDIAUSE_15;MEDIAUSE2_1;MEDIAUSE2_2;MEDIAUSE2_3;MEDIAUSE2_4;MEDIAUSE2_5;MEDIAUSE2_6;MEDIAUSE2_7;MEDIAUSE2_8;DISCUS;VOTEWIE;PART2;MEDHAUPT;PARTYA;CITIZENREPA;ORIGINPARENTS;CONFESSD;CONFESSR;CULT;EDUC;ACTI;ACTIPREV;S17JOBPOSITION;WORKLOAD;S17SECTOR;MAINEARNER;EDUCMAIN;ACTIMAIN;INCOME;INCOMEPRECARIAT;HABITAT;GEWVORL1;GEWVORL2;GEWVORL3;GEWVORL4;UNUSED
11425;20241124.57985.242;1990; ; ; ;2;3;2;1;0;0;0;0;0;0;0;0;0;0;99; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;98;4;98;98;5;98;98;98;98;5;98;98;98;7;8;9;9;9;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;0;0;0;0;0;0;1; ;98;98;98;98;2;98;0;0;0;0;0;0;0;0;1;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;18;1;1;1;1;2;32;3; ;33;23;1;2;51;3;9;2;1;1,87134261557249;1,87626844078531;1,87713990435656;1,87682209295866;0
11427;20241124.61055.242;1948; ; ; ;2;1;1; ; ; ; ; ; ; ; ; ; ; ;3;2; ;4; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;Was zubetoniert ist, kann nicht kompensiert werden!;402; ; ; ; ; ; ;Man sollte aufhören, ohne triftigen Grund herumzufahren!;900; ; ; ; ; ;1;4; ; ;10; ;999; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;10; ;999; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;10; ; ; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;98;5;4;8;7;4;7;7;4;8;7;4;6;4;7;7;2;3;2;3;1;2;3;2;1;1;1;3;1;2;1;1;1;3;4;1;1;2;1;1;1;3;2;2;1;1;2;1;2;1;1;3;2;3;1;0;0;0;0;0;0; ;2;1;3;2;1;4;0;1;0;0;0;0;1;0;0;2;2;98;10;10;10;6;1;0;0;0;1;0;0;0;0;0;98;98;98;98;98;98;5;10;3;1;10; ;3;1;1;2; ; ;32;7;3;32;21;1;2;21;7;6;1;2;,593034419339703;,550238768999835;,561622561048249;,551770683778868;0
11431;20241124.51965.242;1993; ; ; ;1;8;8; ; ; ; ; ; ; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;0;0;0;0;0;0;0;0;5;0;0;0;0;5;5;98;5;8;8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;0;0;1;1;0;0;0; ;3;4;4;98;1;1;1;1;1;0;1;1;0;0;0;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ;16;1;1;8; ; ;32;3; ;33;10;1;1; ; ;98;3;1;1,03348740654331;1,03348740654331;1,03348740654331;1,03348740654331;0
11432;20241124.50106.242;1996; ; ; ;2;4;2;0;0;0;0;0;0;0;1;0;0;0;99; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;8;8;6;98;8;98;98;5;98;8;6;5;98;98;7;98;9;9;9;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;0;0;0;0;0;0;1; ;98;98;98;98;98;98;0;0;0;0;0;0;0;0;1;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98; ;18;1;1;2; ; ;98;98; ; ;98; ;8; ; ;98;8;8;1,77015692106566;1,77517420626094;1,77492007846363;1,77884143448555;0
11436;20241124.52313.242;1944; ; ; ;2;2;1; ; ; ; ; ; ; ; ; ; ; ;1;2; ;8; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;999; ; ; ; ; ; ; ;999; ; ; ; ; ;2; ;8; ;6; ; ; ; ; ; ; ; ; ;999; ; ; ;999; ; ; ; ; ;3; ; ;8;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;5;3;4;1;4;5;4;5;8;7;5;4;4;3;3;98;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;2;1;0;1;1;0;0;0;0; ;1;98;98;98;98;98;0;0;0;0;0;0;0;0;0;98;8;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;8;8;98; ;1;9;8;8; ; ;98;98; ; ;98; ;8; ; ;2;2;1;,648853943830476;,687923074934185;,717927423942782;,52935571980714;0
11445;20241124.62466.242;2000; ; ; ;1;3;1; ; ; ; ; ; ; ; ; ; ; ;2;2; ;4; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ;999; ; ; ; ; ; ; ;998; ; ; ; ; ;2; ;2; ;5; ; ; ; ; ; ; ; ;pour les étudiant-e-s;401; ; ; ;999; ; ; ; ; ;1;2; ; ;3; ;999; ; ; ; ;998; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;8;2;4;98;6;98;98;7;8;9;8;98;98;98;6;4;3;9;8;3;1;1;8;3;2;2;2;2;2;1;3;3;8;3;8;1;2;8;8;8;8;8;8;8;2;3;8;8;8;8;8;8;98;3;0;0;0;1;0;0;0; ;98;98;98;98;98;98;0;0;0;0;1;1;0;0;0;2;1;3;0;0;9;1;2;0;6;0;0;6;2;6;2;0;6;0;5;98;2;5;3;9;4;1;8; ;16;1;1;2; ; ;52;6;6; ;10; ;4;51;1;14;3;7;,470480493546505;,456002438601079;,445560073904369;,470682339105254;0
11448;20241124.66573.242;1996; ; ; ;1;2;1; ; ; ; ; ; ; ; ; ; ; ;1;1;4; ; ;10;Développement du réseau routier;300; ; ; ; ; ;Centralisation de la circulation sur un grand axe  Désengorger les villages;304; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;9;C’est déjà d’actualité dans la plupart des cantons. Cela aurait permis une harmonisation dans tout la suisse.;400; ; ;Éviter des abus sur le prix de la sous-location  Lois clair et définie;300;400; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;10;Cela est déjà possible de la faire. Cette lois aurait simplement facilité le processus extrêmement long pour le propriétaire lors qu’il achète un nouveau bien immobilier.;300; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ;8;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;6;6;3;5;6;4;6;4;7;6;5;4;6;5;5;9;5;8;3;8;1;1;8;1;2;4;3;4;1;1;1;1;1;3;4;8;1;1;4;8;1;4;8;4;2;8;8;8;2;8;3;8;2;98;1;1;0;1;0;0;0; ;98;98;98;98;98;98;0;1;1;0;0;0;0;0;0;2;3;5;6;5;6;5;4;4;5;5;6;5;1;3;6;6;2;2;0;1;3;3;0;7;4;1;9; ;1;1;1;2; ; ;51;3; ;32;10;1;2;51;3;15;2;1;,492412915463564;,509108640061312;,494924046011062;,487287894338839;0
11451;20241124.65418.242;1963; ; ; ;1;2;2;0;0;1;0;0;0;0;0;0;0;0;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;5;4;4;4;5;3;6;4;5;5;5;4;5;4;5;5;5;6;6;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;98;0;1;1;0;0;0;0; ;3;2;3;3;2;4;1;1;0;0;0;0;1;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;4;1;1;1;2;2;51;7;3;33;10;1;8; ; ;7;1;2;1,29452850900787;1,29793602033975;1,29853886795737;1,29831901729419;0
11456;20241124.60833.242;1949; ; ; ;2;3;2;0;0;0;0;0;1;0;0;0;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;98;98;98;98;98;98;98;98;4;98;98;98;98;98;98;3;5;9;9;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;0;0;0;0;0;0;1; ;98;98;98;98;98;98;0;0;0;0;0;0;0;0;0;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98; ; ;1;1;1;2;4;98;7;3;98;22;2;8; ; ;5;2;2;2,4313060000997;2,43770578402795;2,43883801635784;2,43842510599488;0
11457;20241124.62251.242;1994; ; ; ;1;4;2;0;1;0;0;1;0;0;0;0;0;0;16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;98;9;9;9;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;0;0;0;0;0;0;1; ;98;98;98;98;98;98;0;0;0;0;0;0;0;0;1;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;18;1;1;8; ; ;98;3; ;98;98;8;8; ; ;98;3;8;1,35023585296705;1,35378999946725;1,35441878937919;1,35418947789964;0
11459;20241124.52298.242;2006; ; ; ;1;3;2;0;0;0;0;0;0;0;0;0;1;0;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;5;7;5;5;5;5;5;5;5;5;5;5;5;5;5;0;6;9;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;98;0;0;1;0;0;0;0; ;98;98;98;98;98;98;0;0;0;1;0;0;0;0;0;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;4;1;2;1;2;2;32;4; ; ;10; ;8; ; ;1;2;8;1,1273618353033;1,13032932362217;1,13085432356761;1,13066286293511;0
11460;20241124.53122.242;1992; ; ; ;2;4;2;0;0;1;0;0;0;0;0;0;0;0;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;5;98;3;98;2;5;3;6;4;3;5;0;2;4;5;5;1;1;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;2;1;1;0;1;0;0;0; ;98;98;3;4;4;4;0;1;1;0;1;0;0;0;0;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;5;1;2;8; ; ;32;3; ;33;23;1;2;32;1;6;3;1;,97517681326026;,977743713887514;,978197842950364;,978032228004369;0
11462;20241124.63861.242;1944; ; ; ;2;8;2;0;0;0;0;0;0;0;1;0;0;0;16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;98;1;0;1;5;2;4;0;4;0;0;5;0;0;2;98;6;4;9;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;0;1;1;1;0;0;0; ;98;4;98;98;1;98;0;0;1;0;0;0;1;0;0;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98; ;16;1;1;1;2;9;21;7;2; ;10; ;8; ; ;2;3;1;2,5613656614426;2,56810779377551;2,56930059345207;2,56886559496777;0
11463;20241124.50227.242;1973; ; ; ;1;1;1; ; ; ; ; ; ; ; ; ; ; ;1;2; ;3; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ;risque que le prix de l'essence augmente + rique d'autres taxes;699;900; ; ; ; ; ;pas de projets impliquant directement ma région;201;205; ; ; ; ;2; ;2; ;2; ; ; ; ; ; ; ; ;N'étant plus locataire je suis tout de meme ce que cela fait d'être locataire;203; ; ; ;999; ; ; ; ; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;Si un jour je redeviens un locatiare cette modification pourait m'être défavorable.;203; ; ; ; ; ; ;999; ; ; ; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ;Mal informé sur les conséquences du changement;900; ; ; ; ;999; ; ; ; ; ;7;98;98;1;5;8;1;6;1;4;4;3;1;3;1;4;7;5;4;4;5;1;2;1;2;2;3;3;4;1;2;2;2;3;1;2;2;1;2;3;3;2;3;2;2;2;3;3;3;2;2;2;2;2;3;1;0;0;1;0;0;0; ;2;2;1;4;1;1;1;1;1;1;0;0;1;0;0;4;3;6;8;8;6;4;2;2;2;4;1;0;0;2;4;2;0;2;2;2;2;6;2;10;3;1;10; ;1;1;1;1;2;2;33;3; ;33;10;2;1; ; ;8;2;2;,340271138391398;,329800004506893;,336731354545753;,372413713424345;0
11464;20241124.61482.242;1992; ; ; ;1;2;2;0;0;0;1;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;5;7;5;6;7;8;8;5;10;5;5;5;5;5;9;10;6;6;6;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;0;0;1;0;0;0;0; ;3;2;2;1;4;1;1;1;1;1;0;0;1;0;0;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;1;1;1;1;2;1;51;3; ;32;10;1;1; ; ;11;2;1;1,20543278604402;1,20860577593932;1,20916713266357;1,20896241318804;0
11465;20241124.59426.242;1953; ; ; ;1;4;2;0;0;0;0;0;0;0;0;0;1;0;99; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;9;9;9;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;0;0;0;0;0;0;1; ;98;98;98;98;98;98;0;0;0;0;0;0;0;0;1;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;18;1;1;1;2;4;98;98; ; ;10; ;8; ; ;98;2;7; ; ; ; ;1
11467;20241124.66807.242;1944; ; ; ;2;1;1; ; ; ; ; ; ; ; ; ; ; ;16;1;4; ; ;9;Mobilität;302; ; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;6;Wir sind Vermieter;201;203; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;6;Wir sind Vermieter;203; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;6;Red. Gesundheitskosten;503; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;6;4;2;5;6;4;5;3;1;4;2;2;6;0;7;9;3;6;6;5;1;1;1;1;1;4;4;2;1;2;1;1;1;4;4;2;1;1;1;1;1;4;4;4;1;2;2;2;2;2;2;2;3;2;0;0;0;0;0;1;0; ;98;98;98;98;98;98;1;0;1;0;0;0;0;0;0;3;3;8;0;5;9;2;2;1;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;1;9; ;16;1;1;1;1;4;32;7;2; ;21; ;3; ; ;9;1;2;2,13872068304164;1,99372424972206;1,83920397633491;2,35723563849374;0
11469;20241124.62378.242;1954; ; ; ;1;1;1; ; ; ; ; ; ; ; ; ; ; ;17;1;4; ; ;10;besserer Verkehrsfluss, weniger Unfälle;401;503; ; ; ; ;positiv fürs Transportwesen ( wir konsumieren ja immer mehr --> die CH !);404; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ;999; ; ; ;998; ; ; ; ; ;2; ;2; ;10; ; ; ; ; ; ; ; ; ; ;gegen die Profitgier !;605; ; ; ; ; ;zu wenig bezahlbare Wohnungen !!! und siehe Sugushäuaer in ZH = eine Sauerei !;602;600; ; ; ;2; ;4; ;10; ; ; ; ; ; ; ; ; ; ; ;"die KK sind die 3. Macht im Staat und kriegen "" leider"" dadurch noch mehr Macht !!! 1974 hat der CEO der Mutuel KK 2,2 Mio. Jahresgehalt sich ausbezahlen lassen, siehe AG-Zeitung und sagte im gleichen Atemzug als (Sesselfurzer ohne Verantwortung über Leb";401; ; ; ;weniger Macht den KK-ssen !;401; ; ; ; ; ;9;8;2;5;9;5;3;9;4;9;9;9;8;3;5;10;5;3;3;3;3;1;1;1;1;2;4;2;3;1;1;2;2;2;3;3;2;1;1;3;1;2;1;1;1;1;1;2;3;3;1;1;2;2;4;1;1;1;1;0;0;0; ;4;3;4;4;1;2;0;1;1;0;0;0;1;0;0;4;3;10;10;10;5;1;1;0;3;2;2;0;0;3;0;0;1;0;0;5;0;9;0;9;2;1;10; ;3;1;1;2; ; ;51;7;3;33;10;1;1; ; ;98;2;2;,704959139942388;,690211214080687;,652505121476229;,836274225590444;0
11471;20241124.50466.242;1955; ; ; ;8;8;8; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;8;4;4;5;8;5;5;5;4;6;6;2;9;2;5;8;3;6;1;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;1;0;0;1;0;0;0; ;2;1;4;98;1;4;1;1;1;1;0;0;1;0;0;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;16;2;2;2; ; ;32;9;3;33;10;1;3; ; ;9;1;2;2,42230537075346;2,42230537075346;2,42230537075346;2,42230537075346;0
