CODERESP;SECURITYID;CONTROL1;CONTROL3;CONTROL3@;BIRTHYEARR;S11;POLINT;PART;NONVOTE_01;NONVOTE_02;NONVOTE_03;NONVOTE_04;NONVOTE_05;NONVOTE_06;NONVOTE_07;NONVOTE_08;NONVOTE_09;NONVOTE_10;NONVOTE_98;PARTY15;VOTE1;VOTE1A;VOTE1B;VOTE1C;IMPORTANCE1;REASON1ACC1_01;REASON1ACC1_02;REASON1ACC1_03;REASON1ACC1_04;REASON1ACC1_05;REASON1ACC1_06;REASON1ACC1_07;REASON1ACC1_08;REASON1ACC1;REASON2ACC1_01;REASON2ACC1_02;REASON2ACC1_03;REASON2ACC1_04;REASON2ACC1_05;REASON2ACC1_06;REASON2ACC1;REASON1DEN1_01;REASON1DEN1_02;REASON1DEN1_03;REASON1DEN1_04;REASON1DEN1_05;REASON1DEN1_06;REASON1DEN1;REASON2DEN1_01;REASON2DEN1_02;REASON2DEN1_03;REASON2DEN1_04;REASON2DEN1_05;REASON2DEN1;VOTE2;VOTE2A;VOTE2B;VOTE2C;IMPORTANCE2;REASON1ACC2_01;REASON1ACC2_02;REASON1ACC2_03;REASON1ACC2_04;REASON1ACC2_05;REASON1ACC2_06;REASON1ACC2_07;REASON1ACC2_08;REASON1ACC2_09;REASON1ACC2_10;REASON1ACC2;REASON2ACC2_01;REASON2ACC2_02;REASON2ACC2_03;REASON2ACC2_04;REASON2ACC2_05;REASON2ACC2_06;REASON2ACC2_07;REASON2ACC2_08;REASON2ACC2_09;REASON2ACC2_10;REASON2ACC2;REASON1DEN2_01;REASON1DEN2_02;REASON1DEN2_03;REASON1DEN2_04;REASON1DEN2_05;REASON1DEN2_06;REASON1DEN2_07;REASON1DEN2;REASON2DEN2_01;REASON2DEN2_02;REASON2DEN2_03;REASON2DEN2_04;REASON2DEN2_05;REASON2DEN2;VOTE3;VOTE3A;VOTE3B;VOTE3C;IMPORTANCE3;REASON1ACC3_01;REASON1ACC3_02;REASON1ACC3_03;REASON1ACC3_04;REASON1ACC3_05;REASON1ACC3;REASON2ACC3_01;REASON2ACC3_02;REASON2ACC3_03;REASON2ACC3_04;REASON2ACC3;REASON1DEN3_01;REASON1DEN3_02;REASON1DEN3_03;REASON1DEN3_04;REASON1DEN3;REASON2DEN3_01;REASON2DEN3_02;REASON2DEN3_03;REASON2DEN3;VOTE4;VOTE4A;VOTE4B;VOTE4C;IMPORTANCE4;REASON1ACC4_01;REASON1ACC4_02;REASON1ACC4_03;REASON1ACC4_04;REASON1ACC4_05;REASON1ACC4;REASON2ACC4_01;REASON2ACC4_02;REASON2ACC4_03;REASON2ACC4_04;REASON2ACC4_05;REASON2ACC4_06;REASON2ACC4;REASON1DEN4_01;REASON1DEN4_02;REASON1DEN4_03;REASON1DEN4_04;REASON1DEN4;REASON2DEN4_01;REASON2DEN4_02;REASON2DEN4_03;REASON2DEN4_04;REASON2DEN4_05;REASON2DEN4;VOTE5;VOTE5A;VOTE5B;VOTE5C;IMPORTANCE5;REASON1ACC5_01;REASON1ACC5_02;REASON1ACC5_03;REASON1ACC5_04;REASON1ACC5_05;REASON1ACC5;REASON2ACC5_01;REASON2ACC5_02;REASON2ACC5_03;REASON2ACC5_04;REASON2ACC5_05;REASON2ACC5;REASON1DEN5_01;REASON1DEN5_02;REASON1DEN5_03;REASON1DEN5_04;REASON1DEN5_05;REASON1DEN5_06;REASON1DEN5;REASON2DEN5_01;REASON2DEN5_02;REASON2DEN5_03;REASON2DEN5_04;REASON2DEN5_05;REASON2DEN5;TRUST_1;TRUST_2;TRUST_3;TRUST_4;TRUST_5;TRUST_6;TRUST_7;TRUST_8;TRUST_9;TRUST_10;TRUST_16;TRUST_30;TRUST_31;TRUST_32;TRUST_33;TRUST_34;LRSP;VALUE3;VALUE5;VALUE6;VALUE7;VALUE8;VALUE10;VALUE16;VALUE11;VALUE15;DIFFICUL1;DECTIME1;ARGU1_1;ARGU1_2;ARGU1_3;ARGU1_4;ARGU1_5;ARGU1_6;DIFFICUL2;DECTIME2;ARGU2_1;ARGU2_2;ARGU2_3;ARGU2_4;ARGU2_5;ARGU2_6;DIFFICUL3;DECTIME3;ARGU3_1;ARGU3_2;ARGU3_3;ARGU3_4;ARGU3_5;ARGU3_6;DIFFICUL4;DECTIME4;ARGU4_1;ARGU4_2;ARGU4_3;ARGU4_4;ARGU4_5;ARGU4_6;DIFFICUL5;DECTIME5;ARGU5_1;ARGU5_2;ARGU5_3;ARGU5_4;ARGU5_5;ARGU5_6;COVID1A;COVID1B;COVID1C;COVID1D;COVID1E;COVID2;COVID3_1;COVID3_2;COVID4_1;ONLINE;MEDIAUSE_1;MEDIAUSE_2;MEDIAUSE_3;MEDIAUSE_4;MEDIAUSE_5;MEDIAUSE_6;MEDIAUSE_7;MEDIAUSE_8;MEDIAUSE_9;MEDIAUSE_10;MEDIAUSE_11;MEDIAUSE_12;MEDIAUSE_13;MEDIAUSE_14;MEDIAUSE_15;MEDIAUSE2_1;MEDIAUSE2_2;MEDIAUSE2_3;MEDIAUSE2_4;MEDIAUSE2_5;MEDIAUSE2_6;MEDIAUSE2_7;MEDIAUSE2_8;DISCUS;VOTEWIE;PART2;PARTYA;CITIZENREPA;ORIGINPARENTS;CONFESSR;CONFESSD;CULT;EDUC;ACTI;ACTIPREV;S17JOBPOSITION;WORKLOAD;S17SECTOR;MAINEARNER;EDUCMAIN;ACTIMAIN;INCOME;INCOMEPRECARIAT;HABITAT;GEWVORL1;GEWVORL2;GEWVORL3;GEWVORL4;GEWVORL5
13834;20210613.60273.211;99999998;99999998; ;1963;2;1;1;8;8;8;8;8;8;8;8;8;8;8;5;1;4;99999998;99999998;10;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;8;99999998;99999998;99999998;98;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;1;2;99999998;99999998;5;31;32; ; ; ;Finanzieller Ausgleich für dsa verordnete Verbot der Ausübung der Berufstätigkeit;41; ; ; ;Gerechtigkeit;99999998; ; ; ; ;99999998; ; ; ;1;2;99999998;99999998;7;43;23; ; ; ;Klimawandel, dass die Schweiz die vereinbarten Klimaziele erreicht.;24; ; ; ; ; ;Umverteilung. Das Gesetz geht in die richtige Richtung.;99999998; ; ; ; ;99999998; ; ; ; ; ;1;3;99999998;99999998;7;41; ; ; ; ;Die Möglicheiten der Polizei, präventiv einschreiten zu können, zu unterstützen.;42;24; ; ; ;1. Dass gegen die Massnahmen vorn einem Gericht geklagt werden kann. 2. Vertrauen in die Entscheidungskompetenzen  der Polizei.3. Dass es publik wird, wenn Missbrauch mit dem Gesetz getrieben wird.;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;6;6;3;3;2;5;6;6;2;9;3;2;9;6;2;2;4;1;1;4;4;5;9;5;8;2;1;1;3;1;1;3;4;4;8;8;8;8;8;8;8;8;1;3;2;2;2;1;2;2;2;3;3;1;2;4;4;3;2;3;4;1;2;2;2;2;1;1;3;1;1;3;4;4;2;2;1;1;1;10;1;0;4;0;0;0;0;0;10;98;0;1;1;1;0;1;1;1;6;4;1;4;4;1;1;1;1;2;32;98;99999998;99999998;98;99999998;1;99999998;99999998;98;1;8;0.17533634;0.182319262;0.201449677;0.212772419;0.135865081
14483;20210613.62019.211;99999998;99999998; ;1961;2;4;8;8;8;8;8;8;8;8;8;8;8;8;17;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;3;2;5;2;6;5;3;2;7;2;5;0;2;2;2;3;3;5;8;6;2;5;5;8;6;4;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;4;11;1;2; ;2;99999998;21;8;3;33;98;8;1;99999998;99999998;2;3;1;0.608879305;0.608879305;0.608879305;0.608879305;0.608879305
15375;20210613.64503.211;99999998;99999998; ;1998;2;2;1;8;8;8;8;8;8;8;8;8;8;8;3;2;99999998;2;99999998;3;99999998; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;93;96; ; ; ; ;Les arguments démontrés par les agriculteurs, plusieurs lectures effectuées, plusieurs discussions;99; ; ; ; ; ;2;99999998;3;99999998;5;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ; ; ; ;63; ; ; ; ; ; ;Arguments agriculteurs, réalités du monde;99; ; ; ; ; ;8;99999998;99999998;99999998;0;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ;2;99999998;8;99999998;5;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;2;99999998;1;99999998;8;99999998; ; ; ; ; ;99999998; ; ; ; ; ;34; ; ; ; ; ;Arguments contre était convainquants, liberté de l'humain. Mais très complexes comme situation, pas évident à trancher.;99; ; ; ; ; ;7;8;5;1;3;8;7;8;5;5;8;9;8;7;7;7;4;1;4;4;4;6;1;1;8;3;2;2;2;8;3;1;1;8;1;2;1;3;3;2;1;2;2;8;8;2;8;2;2;2;1;2;8;8;8;8;8;8;2;2;3;8;3;2;3;2;1;1;1;1;1;3;4;4;4;2;3;7;6;3;3;3;5;7;3;3;8;2;5;8;3;5;3;0;3;0;0;0;7;4;1;10;3;1;2; ;2;99999998;52;3;99999998;33;10;2;1;99999998;99999998;4;1;1;0.227229414;0.228969498;0.220984176;0.18938169;0.48122001
15575;20210613.65012.211;99999998;99999998; ;1939;1;1;1;8;8;8;8;8;8;8;8;8;8;8;2;2;99999998;8;99999998;10;99999998; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;63; ; ; ; ; ;aide à la paysannerie selon application de lai si acceptee.;99; ; ; ; ; ;8;99999998;99999998;99999998;98;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;2;99999998;3;99999998;5;99999998; ; ; ; ; ;99999998; ; ; ; ;99; ; ; ; ; ; ; ; ;1;2;99999998;99999998;9;47; ; ; ; ;aides à l'economie d'energir olurable;98; ; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ; ;3;99999998;99999998;8;7;99999998; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;8;7;5;5;4;6;8;7;7;5;5;8;8;7;7;3;3;3;3;4;3;3;2;5;5;4;2;2;2;3;2;2;1;3;2;2;2;2;3;2;2;2;2;2;2;1;2;4;4;4;2;2;2;2;1;2;4;3;2;2;1;2;2;2;4;2;8;8;8;8;8;8;8;8;8;2;5;8;8;8;5;6;4;2;6;8;98;3;3;8;3;1;1;1;1;1;5;5;9;2;1;7;2;1;1;2;1;5;32;7;3;33;10;2;8;99999998;99999998;9;8;2;3.010839252;2.930891427;2.458775118;3.420444182;2.919746074
16566;20210613.67625.211;99999998;99999998; ;1974;2;3;1;8;8;8;8;8;8;8;8;8;8;8;99;8;99999998;99999998;99999998;8;99999998; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;8;99999998;99999998;99999998;8;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;8;99999998;99999998;99999998;10;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ;8;99999998;99999998;99999998;8;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ; ;8;99999998;99999998;99999998;8;99999998; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;5;5;5;5;5;5;3;7;6;7;6;3;7;5;0;8;5;1;3;3;3;2;3;3;5;3;8;2;2;1;2;2;2;8;1;2;8;1;1;2;3;2;1;1;3;4;3;1;1;1;1;1;4;1;8;4;3;1;1;2;1;8;1;1;1;1;1;1;3;1;2;4;4;4;1;3;4;5;5;5;2;0;0;5;0;0;0;0;0;0;5;98;98;98;1;4;4;98;4;4;1;10;3;1;1; ;2;99999998;52;3;99999998;33;10;2;8;99999998;99999998;98;2;8;0.349382639;0.349061196;0.348727373;0.347583885;0.347733814
10222;20210613.50552.211;99999998;99999998; ;1939;2;2;1;8;8;8;8;8;8;8;8;8;8;8;3;1;4;99999998;99999998;10;80;40; ; ; ; ; ; ;La santé et le futur de nos enfants et petits-enfants;98; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;1;8;99999998;99999998;9;40;41;50;80;84; ; ; ; ; ;Notre santé et la santé de nos enfants (etc) la nature son environment;51;52;50; ; ; ; ; ; ; ;Biodiversité;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;1;4;99999998;99999998;10;24; ; ; ; ;La lois sur les épidemies ne containent pas de bases légales pour toutes les mesures;24; ; ; ;Le conseil fédéerale a recouru au droit de nécessité comme le permit la Constitution de une telle situation;99999998; ; ; ; ;99999998; ; ; ;1;4;99999998;99999998;8;43; ; ; ; ;Protection contre pollution. Lutte contre réchauffement climatique;98; ; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ; ;1;4;99999998;99999998;8;33; ; ; ; ;Protection de la population;99; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;8;8;5;3;4;9;6;0;5;5;5;7;8;8;8;98;5;8;5;1;8;1;8;9;6;9;1;1;1;4;1;4;4;4;1;1;1;1;1;3;4;8;1;1;1;1;1;3;3;3;1;1;1;1;1;4;3;1;1;1;1;1;1;4;8;8;1;1;1;1;1;4;3;3;4;3;8;8;9;9;0;1;1;98;9;98;0;0;5;0;0;98;98;98;98;98;8;98;8;8;1;10;3;1;1;1;1;4;32;7;1;12;10;1;8;99999998;99999998;98;8;8;2.155248002;2.619586975;1.799307313;1.188665877;2.037421692
10264;20210613.50655.211;99999998;99999998; ;1993;2;2;1;8;8;8;8;8;8;8;8;8;8;8;5;1;4;99999998;99999998;8;42; ; ; ; ; ; ; ;boire de l'eau propre;99; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;1;4;99999998;99999998;10;41;57; ; ; ; ; ; ; ; ;je veux rester en bonne santé et je me méfie des pesticides de synthèse;99; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;1;4;99999998;99999998;5;92; ; ; ; ;l'avis des partis politiques;95; ; ; ;les explications du CF;99999998; ; ; ; ;99999998; ; ; ;1;4;99999998;99999998;10;43; ; ; ; ;préserver le climat;43; ; ; ; ; ;combattre les perturbations climatiques;99999998; ; ; ; ;99999998; ; ; ; ; ;2;99999998;4;99999998;7;99999998; ; ; ; ; ;99999998; ; ; ; ; ;17;44; ; ; ; ;c'est une loi qui accorde trop de pourvoir à la police;93; ; ; ; ;la prise des positons de beaucoup de juristes et avocats;3;4;5;98;2;8;5;5;8;9;2;5;8;1;98;0;1;1;3;6;1;1;2;8;6;1;1;2;2;2;2;3;2;3;1;1;1;1;1;1;3;2;1;1;1;1;1;4;3;8;1;1;1;1;1;4;4;2;1;1;4;4;4;1;2;2;1;1;8;1;1;8;4;8;3;3;5;1;3;0;6;0;5;5;5;1;6;2;7;0;2;5;3;3;0;0;9;3;8;2;1;10;5;1;2; ;2;99999998;52;6;6;99999998;98;99999998;4;52;3;11;2;7;0.844252579;1.026143189;0.704823685;0.465623553;0.359441605
10417;20210613.51085.211;99999998;99999998; ;1974;1;4;8;8;8;8;8;8;8;8;8;8;8;8;17;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;3;2;2;3;2;2;4;4;5;3;4;3;3;5;2;3;98;3;4;4;9;5;3;4;5;9;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;98;16;2;2; ;2;99999998;32;5;3;33;10;1;1;99999998;99999998;98;3;1;0.710669587;0.710669587;0.710669587;0.710669587;0.710669587
10489;20210613.51276.211;99999998;99999998; ;1969;2;1;1;8;8;8;8;8;8;8;8;8;8;8;3;2;99999998;3;99999998;5;99999998; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ; ; ;2;99999998;3;99999998;98;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;99999998;99999998;9;99; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ;2;99999998;2;99999998;5;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;1;4;99999998;99999998;10;99; ; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;8;9;9;4;9;7;8;1;9;6;9;8;5;7;5;5;7;4;5;4;4;4;6;5;4;6;2;2;8;4;4;1;2;8;8;2;8;4;4;2;2;8;2;2;1;1;2;3;3;4;1;2;8;2;2;2;8;2;8;2;1;2;2;3;4;3;1;1;3;1;1;8;3;3;3;3;5;5;7;5;6;6;4;5;4;1;2;8;1;4;6;7;7;7;5;8;6;6;8;3;1;10;3;2;2; ;2;99999998;31;1;99999998;11;10;1;3;99999998;99999998;9;1;1;0.307717737;0.278325757;0.561320257;0.503702617;0.635603524
10547;20210613.51458.211;99999998;99999998; ;1955;1;2;1;8;8;8;8;8;8;8;8;8;8;8;4;1;4;99999998;99999998;9;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;1;4;99999998;99999998;9;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;1;4;99999998;99999998;6;98; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ;1;4;99999998;99999998;6;98; ; ; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ; ;1;4;99999998;99999998;4;99; ; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;9;6;6;4;5;98;9;9;9;5;5;8;5;9;8;5;5;4;5;1;1;5;4;1;5;1;1;2;3;3;3;3;3;3;1;2;3;3;3;3;3;3;1;2;3;3;3;3;3;3;1;2;3;3;3;3;3;3;1;2;3;3;3;3;3;3;2;2;2;2;8;4;3;4;1;2;5;7;9;9;9;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;5;0;9;2;1;9;4;1;2;2;1;3;52;3;99999998;32;10;1;1;99999998;99999998;98;8;8;1.312899956;1.595758642;1.096073626;0.724092715;1.241124384
10808;20210613.52218.211;99999998;99999998; ;1972;2;8;1;8;8;8;8;8;8;8;8;8;8;8;7;2;99999998;2;99999998;7;99999998; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;24; ; ; ; ; ;Ce projet a l'aire très compliqué.;99; ; ; ; ; ;2;99999998;2;99999998;6;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ; ; ; ;24; ; ; ; ; ; ;Ce projet a l'aire très compliqué.;99; ; ; ; ; ;1;2;99999998;99999998;3;25; ; ; ; ;J'ai la confiance du gouvernement.;99; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ;2;99999998;2;99999998;4;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;8;99999998;99999998;99999998;6;99999998; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;6;6;5;4;3;7;6;1;4;4;4;7;5;8;7;5;5;3;3;2;3;4;2;3;3;3;2;2;2;8;3;3;3;2;2;3;2;2;3;8;2;3;2;3;2;8;2;8;3;3;2;3;8;2;2;2;8;8;2;2;2;2;2;8;8;2;8;8;2;8;8;3;4;8;8;2;5;4;6;6;5;7;4;5;4;4;4;0;4;0;4;5;5;0;3;4;4;2;5;2;1;10;3;2;2;5;1;4;52;3;99999998;32;23;1;2;51;3;15;1;1;0.163184685;0.14759793;0.297671724;0.26711672;0.218847533
11042;20210613.52848.211;99999998;99999998; ;1946;2;2;1;8;8;8;8;8;8;8;8;8;8;8;3;2;99999998;2;99999998;5;99999998; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ; ; ;2;99999998;2;99999998;8;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ; ; ; ;60;100; ; ; ; ; ;Pensez aux Paysans;99; ; ; ; ; ;8;99999998;99999998;99999998;4;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ;2;99999998;8;99999998;5;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;27; ; ; ;comme retraité jeurez aux taxes;98; ; ; ; ; ;1;4;99999998;99999998;8;99; ; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;9;9;98;98;98;98;98;98;6;98;9;98;5;8;7;98;4;9;8;1;1;9;2;9;6;9;8;8;2;4;3;4;2;2;8;8;8;8;8;8;8;8;1;1;4;2;3;2;3;4;8;8;8;8;8;8;2;8;8;8;2;8;2;8;8;2;1;1;2;1;2;3;2;3;3;8;98;6;7;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;0;98;5;1;10;3;1;1;1;1;4;21;7;1;11;10;1;8;99999998;99999998;3;2;1;0.144916763;0.131074887;0.19435232;0.237213991;0.299331478
11656;20210613.54491.211;99999998;99999998; ;1970;2;2;2;0;0;0;1;0;0;0;0;0;0;0;1;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;8;7;6;5;6;7;7;7;7;6;8;7;6;8;8;6;7;4;3;5;5;6;6;5;5;5;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;9;1;2;2;2;1;4;40;3;99999998;32;21;1;1;99999998;99999998;6;1;1;1.239152639;1.239163973;1.239211602;1.239197045;1.239249751
11844;20210613.54985.211;99999998;99999998; ;1998;2;3;1;8;8;8;8;8;8;8;8;8;8;8;5;1;4;99999998;99999998;10;40;41; ; ; ; ; ; ;Prende en compte notre santé à travers l'eau.;98; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;1;4;99999998;99999998;10;40;41;50;57; ; ; ; ; ; ;pour la santé en limitant les pesticides;98; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;8;99999998;99999998;99999998;98;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ;1;4;99999998;99999998;10;53; ; ; ; ;Pour préserver la planète;98; ; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ; ;1;3;99999998;99999998;7;33; ; ; ; ;Pour avoir une meilleur sécurité;33; ; ; ; ;Se sentir en sécurité;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;98;98;98;5;98;98;98;98;98;9;98;98;98;10;98;98;3;4;8;8;2;2;2;4;6;8;1;1;8;8;8;8;8;8;1;1;8;8;8;8;8;8;2;3;8;8;8;8;8;8;1;1;8;8;8;8;8;8;1;2;8;8;8;8;8;8;1;1;3;1;1;8;3;2;2;2;8;8;2;0;0;0;1;1;0;0;0;2;2;0;1;98;98;98;98;98;98;98;98;3;1;10;5;1;2; ;2;99999998;21;98;99999998;99999998;98;99999998;1;99999998;99999998;98;8;8;0.515557663;0.626632359;0.316445016;0.284341199;0.487372388
